iter	Passed	Remaining
414	3306	4660
415	3314	4652
416	3321	4644
417	3329	4636
418	3337	4627
419	3344	4618
420	3352	4610
421	3360	4602
422	3367	4593
423	3374	4583
424	3381	4575
425	3388	4566
426	3396	4557
427	3404	4549
428	3411	4541
429	3419	4533
430	3428	4526
431	3441	4524
432	3451	4519
433	3459	4511
434	3466	4502
435	3474	4493
436	3481	4485
437	3488	4476
438	3495	4467
439	3503	4458
440	3510	4449
441	3517	4440
442	3525	4432
443	3533	4424
444	3540	4415
445	3547	4406
446	3554	4397
447	3562	4389
448	3569	4380
449	3577	4372
450	3585	4364
451	3592	4356
452	3600	4347
453	3607	4338
454	3615	4330
455	3622	4321
456	3630	4313
457	3637	4304
458	3645	4296
459	3652	4287
460	3659	4278
461	3667	4270
462	3676	4263
463	3685	4257
464	3694	4250
465	3704	4244
466	3712	4237
467	3721	4230
468	3730	4223
469	3738	4216
470	3746	4207
471	3754	4199
472	3761	4190
473	3769	4182
474	3776	4173
475	3783	4165
476	3790	4156
477	3798	4148
478	3805	4139
479	3812	4130
480	3820	4122
481	3827	4113
482	3835	4104
483	3842	4096
484	3849	4087
485	3857	4079
486	3865	4071
487	3873	4063
488	3880	4055
489	3887	4046
490	3895	4038
491	3903	4029
492	3910	4021
493	3918	4013
494	3925	4004
495	3932	3996
496	3940	3988
497	3947	3979
498	3955	3971
499	3962	3962
500	3970	3954
501	3977	3946
502	3985	3937
503	3992	3929
504	3999	3920
505	4007	3912
506	4014	3903
507	4021	3894
508	4028	3886
509	4036	3877
510	4043	3869
511	4051	3861
512	4058	3852
513	4065	3844
514	4073	3836
515	4080	3827
516	4087	3818
517	4094	3809
518	4101	3801
519	4108	3792
520	4116	3784
521	4123	3776
522	4131	3768
523	4138	3759
524	4145	3751
525	4154	3743
526	4161	3735
527	4168	3726
528	4176	3718
529	4183	3709
530	4190	3701
531	4197	3692
532	4205	3684
533	4212	3676
534	4220	3668
535	4227	3659
536	4235	3651
537	4241	3642
538	4249	3634
539	4257	3626
540	4264	3618
541	4272	3610
542	4279	3601
543	4287	3593
544	4294	3585
545	4301	3576
546	4308	3568
547	4316	3560
548	4323	3551
549	4330	3543
550	4337	3534
551	4344	3526
552	4351	3517
553	4359	3509
554	4368	3502
555	4375	3494
556	4383	3486
557	4390	3477
558	4397	3469
559	4404	3460
560	4412	3453
561	4421	3445
562	4430	3438
563	4438	3431
564	4447	3424
565	4456	3416
566	4464	3409
567	4473	3402
568	4482	3395
569	4490	3387
570	4499	3380
571	4508	3373
572	4517	3366
573	4556	3381
574	4569	3377
575	4578	3370
576	4586	3362
577	4593	3353
578	4602	3346
579	4609	3338
580	4617	3329
581	4624	3321
582	4632	3313
583	4640	3305
584	4647	3297
585	4654	3288
586	4662	3280
587	4669	3271
588	4676	3263
589	4684	3255
590	4692	3247
591	4699	3239
592	4707	3231
593	4714	3222
594	4722	3214
595	4729	3206
596	4737	3197
597	4745	3189
598	4752	3181
599	4760	3173
600	4768	3165
601	4775	3157
602	4784	3149
603	4791	3141
604	4798	3133
605	4806	3124
606	4814	3116
607	4821	3108
608	4828	3100
609	4835	3091
610	4842	3083
611	4849	3074
612	4856	3066
613	4864	3058
614	4871	3049
615	4879	3041
616	4887	3033
617	4894	3025
618	4902	3017
619	4910	3009
620	4917	3000
621	4924	2992
622	4931	2984
623	4939	2976
624	4946	2967
625	4953	2959
626	4960	2951
627	4968	2943
628	4976	2935
629	4983	2926
630	4992	2919
631	5001	2912
632	5010	2905
633	5018	2897
634	5025	2888
635	5032	2880
636	5039	2871
637	5047	2863
638	5054	2855
639	5061	2847
640	5069	2839
641	5076	2830
642	5084	2822
643	5092	2814
644	5099	2806
645	5107	2798
646	5114	2790
647	5121	2782
648	5129	2774
649	5136	2765
650	5143	2757
651	5151	2749
652	5159	2741
653	5166	2733
654	5173	2725
655	5181	2716
656	5188	2708
657	5196	2701
658	5204	2693
659	5212	2685
660	5219	2676
661	5226	2668
662	5233	2660
663	5241	2652
664	5248	2643
665	5255	2635
666	5262	2627
667	5270	2619
668	5277	2611
669	5284	2602
670	5292	2594
671	5300	2587
672	5307	2578
673	5314	2570
674	5321	2562
675	5329	2554
676	5336	2546
677	5344	2538
678	5351	2529
679	5358	2521
680	5365	2513
681	5373	2505
682	5380	2497
683	5387	2489
684	5395	2481
685	5403	2473
686	5410	2464
687	5418	2457
688	5426	2449
689	5433	2440
690	5440	2432
691	5447	2424
692	5455	2416
693	5462	2408
694	5469	2400
695	5476	2392
696	5484	2384
697	5492	2376
698	5500	2368
699	5507	2360
700	5514	2352
701	5521	2344
702	5529	2335
703	5536	2327
704	5544	2320
705	5552	2312
706	5559	2303
707	5566	2295
708	5573	2287
709	5581	2279
710	5589	2271
711	5596	2263
712	5605	2256
713	5612	2248
714	5619	2240
715	5626	2231
716	5634	2223
717	5641	2215
718	5648	2207
719	5656	2199
720	5664	2191
721	5671	2183
722	5678	2175
723	5686	2167
724	5694	2159
725	5701	2151
726	5709	2143
727	5717	2136
728	5723	2127
729	5732	2120
730	5739	2112
731	5746	2104
732	5754	2096
733	5761	2087
734	5768	2079
735	5776	2071
736	5783	2063
737	5791	2055
738	5798	2047
739	5805	2039
740	5813	2031
741	5821	2024
742	5828	2015
743	5837	2008
744	5846	2001
745	5855	1993
746	5864	1986
747	5873	1978
748	5882	1971
749	5891	1963
750	5900	1956
751	5909	1948
752	5917	1941
753	5925	1933
754	5934	1925
755	5941	1917
756	5949	1909
757	5956	1901
758	5964	1893
759	5971	1885
760	5979	1878
761	5988	1870
762	5997	1862
763	6005	1855
764	6014	1847
765	6023	1840
766	6032	1832
767	6041	1824
768	6049	1817
769	6057	1809
770	6066	1801
771	6078	1795
772	6131	1800
773	6152	1796
774	6163	1789
775	6174	1782
776	6185	1775
777	6195	1767
778	6205	1760
779	6216	1753
780	6229	1746
781	6238	1739
782	6252	1732
783	6264	1725
784	6272	1717
785	6280	1709
786	6287	1701
787	6295	1693
788	6302	1685
789	6310	1677
790	6317	1669
791	6326	1661
792	6334	1653
793	6341	1645
794	6349	1637
795	6356	1629
796	6365	1621
797	6372	1613
798	6380	1605
799	6388	1597
800	6395	1588
801	6403	1580
802	6410	1572
803	6419	1564
804	6426	1556
805	6436	1549
806	6444	1541
807	6451	1533
808	6459	1525
809	6467	1517
810	6475	1509
811	6484	1501
812	6492	1493
813	6500	1485
814	6507	1477
815	6516	1469
816	6526	1461
817	6533	1453
818	6541	1445
819	6548	1437
820	6555	1429
821	6563	1421
822	6571	1413
823	6579	1405
824	6586	1397
825	6594	1389
826	6601	1381
827	6609	1372
828	6617	1365
829	6630	1357
830	6639	1350
831	6648	1342
832	6656	1334
833	6664	1326
834	6671	1318
835	6679	1310
836	6687	1302
837	6694	1294
838	6702	1286
