iter	Logloss
186	0.1425466502
187	0.1423321503
188	0.1422180015
189	0.1421275699
190	0.1419994944
191	0.1417565846
192	0.1415587215
193	0.1413800856
194	0.1412936227
195	0.1411591708
196	0.1410639296
197	0.1409671862
198	0.1409421659
199	0.1408474744
200	0.1407233005
201	0.1406291946
202	0.1404027739
203	0.1402025291
204	0.1400622264
205	0.1399816846
206	0.139849898
207	0.1397156273
208	0.1397027999
209	0.1395865036
210	0.1394926214
211	0.1393666983
212	0.1392309975
213	0.1391839282
214	0.1391103782
215	0.1390126707
216	0.1390007586
217	0.1388469932
218	0.1386577351
219	0.138561291
220	0.1384875255
221	0.138454299
222	0.1383860457
223	0.1382396635
224	0.1381173244
225	0.1380417028
226	0.1379330571
227	0.1379127477
228	0.1378423341
229	0.1376425012
230	0.1374228645
231	0.1371900422
232	0.1369580589
233	0.1368909422
234	0.1368164796
235	0.1366770829
236	0.1365868141
237	0.1364643147
238	0.1363326267
239	0.1363032729
240	0.1362033024
241	0.1361346919
242	0.136071921
243	0.1360657734
244	0.136002316
245	0.1358326928
246	0.1357996977
247	0.1356782374
248	0.1356293371
249	0.1355161752
250	0.1353787109
251	0.1352355506
252	0.1351738106
253	0.1350844616
254	0.1349494754
255	0.1347776771
256	0.13464813
257	0.1345188715
258	0.1343648167
259	0.1342191578
260	0.1340939976
261	0.133995149
262	0.1338130312
263	0.133751658
264	0.1336863812
265	0.133649325
266	0.1334620735
267	0.1333305928
268	0.1331887826
269	0.1330706022
270	0.1329634201
271	0.1329449922
272	0.1328271577
273	0.1327446571
274	0.1326988433
275	0.1326162111
276	0.1324992835
277	0.1324302098
278	0.1323567503
279	0.1322676879
280	0.1321439254
281	0.1320993978
282	0.1320255476
283	0.131957294
284	0.1318852089
285	0.1318245476
286	0.1317523997
287	0.1316561888
288	0.1315375997
289	0.1314252151
290	0.1313097566
291	0.131218245
292	0.1311011146
293	0.1310605723
294	0.1309530027
295	0.1307709203
296	0.1306689139
297	0.1306630717
298	0.1305946269
299	0.1304875516
300	0.1303060004
301	0.1302362264
302	0.1300369707
303	0.1299062638
304	0.1298009866
305	0.1297499473
306	0.1296038658
307	0.1294370943
308	0.1293368914
309	0.1292517128
310	0.12921864
311	0.1291549996
312	0.1291269788
313	0.1289684452
314	0.1288767458
315	0.1286991957
316	0.128646657
317	0.1285776123
318	0.1284950435
319	0.1284323026
320	0.1283379001
321	0.1283349263
322	0.128214617
323	0.1281800437
324	0.1281163169
325	0.1280607565
326	0.1280459233
327	0.1279500453
328	0.1279362138
329	0.1277614655
330	0.1276787908
331	0.127596827
332	0.1275010414
333	0.1274104977
334	0.1272591535
335	0.1271865626
336	0.1271209872
337	0.1270203635
338	0.126930608
339	0.1268440389
340	0.1267334639
341	0.1266595642
342	0.1266577611
343	0.126566605
344	0.126457833
345	0.1263691056
346	0.1262693906
347	0.1261893291
348	0.1261340898
349	0.1261056462
350	0.1260424134
351	0.1259528382
352	0.1258186183
353	0.1257546669
354	0.1256862634
355	0.1256254658
356	0.1254711041
357	0.1253650918
358	0.1252462039
359	0.1251055091
360	0.1250230049
361	0.1248889258
362	0.1247598427
363	0.1246998859
364	0.1245413581
365	0.1244499133
366	0.1243587866
367	0.1242697755
368	0.1241723818
369	0.1241302217
370	0.1240762187
371	0.1239692781
372	0.1239121026
373	0.1238556186
374	0.1238427867
375	0.1237668207
376	0.123697245
377	0.1236237687
378	0.1234890716
379	0.123411766
380	0.1233401026
381	0.1232786629
382	0.1231962694
383	0.123132688
384	0.1230245156
385	0.1229748377
386	0.122927135
387	0.1228331649
388	0.1228221057
389	0.1227833115
390	0.1226833307
391	0.1226382235
392	0.1225287188
393	0.1224736412
394	0.1224067035
395	0.1223045831
396	0.1222163909
397	0.1221355932
398	0.1220635057
399	0.1219390966
400	0.1218399736
401	0.1217692271
402	0.1217178219
403	0.121700862
404	0.1216447313
405	0.1215777494
406	0.1215147785
407	0.12142927
408	0.1213352659
409	0.1212205179
410	0.1211384263
411	0.1211283885
412	0.1211137397
413	0.1210949319
414	0.1210666025
415	0.1210029295
416	0.1209248868
417	0.1208464516
418	0.1207925933
419	0.1206723467
420	0.1205707162
421	0.1205262758
422	0.1204637899
423	0.1203854403
424	0.1203389653
425	0.1202938228
426	0.1201450311
427	0.1200105348
428	0.1198881227
429	0.1198292801
430	0.1197765638
431	0.1197211434
432	0.1196674871
433	0.1195645623
434	0.1194620711
435	0.1193810155
436	0.1192980398
437	0.1192257729
438	0.1191765902
439	0.1191638367
440	0.119038774
441	0.119010737
442	0.118925218
443	0.118874685
444	0.1188462903
445	0.1187493389
446	0.1186645585
447	0.118602328
448	0.118541026
449	0.1184402149
450	0.1183152017
451	0.1182052462
452	0.118181712
453	0.1180749366
454	0.117992291
455	0.1179046115
456	0.1178441766
457	0.1178343578
458	0.1177346732
459	0.1176609815
460	0.1175723473
461	0.1175311291
462	0.1174905848
463	0.1174184849
464	0.1173798302
465	0.1172652814
466	0.1172029573
467	0.1171368688
468	0.117073211
469	0.11704172
470	0.1170161085
471	0.1169236403
472	0.1168471809
473	0.1167435765
474	0.1166742221
475	0.1166042377
476	0.1165599154
477	0.1164314721
478	0.1163641818
479	0.1163064048
480	0.1162337613
481	0.1161794564
482	0.1160719907
483	0.1160052899
484	0.1159356293
485	0.1158885219
486	0.115825246
487	0.1157562049
488	0.1157094797
489	0.1156764327
490	0.115571519
491	0.115510757
492	0.1154514948
493	0.1153942112
494	0.1153596566
495	0.1152401663
496	0.1151642512
497	0.1150715864
498	0.1149956163
499	0.1148789737
500	0.1148117218
501	0.1147531628
502	0.1146913774
503	0.1146607338
504	0.1146095422
505	0.1145279059
506	0.1144521033
507	0.1144443624
508	0.1143902631
509	0.1143323537
510	0.1142625734
511	0.1142422451
512	0.114238075
513	0.114166178
514	0.1141032493
515	0.1140796845
516	0.1140696266
517	0.1140376231
518	0.1139901915
519	0.1139428772
520	0.1138231344
521	0.1137965579
522	0.11376095
523	0.1137089477
524	0.1136515229
525	0.1135861306
526	0.1134791926
527	0.113399921
528	0.1133477858
529	0.1132773892
530	0.1131531606
531	0.113067075
532	0.1130240194
533	0.1129910688
534	0.1129249886
535	0.1128673531
536	0.1128212426
537	0.1128085261
538	0.1127678598
539	0.1126515873
540	0.1125756341
541	0.1125028917
542	0.1124427068
543	0.1123573241
544	0.1122814969
545	0.1122154743
546	0.1121400765
547	0.1120849121
548	0.1119867472
549	0.1119595986
550	0.1119423779
551	0.1118838079
552	0.111871858
553	0.1118411019
554	0.1117404151
555	0.1116391801
556	0.1115372244
557	0.1114623677
558	0.1114016458
559	0.1113135421
560	0.1112179616
561	0.1111252066
562	0.1110767958
563	0.1110102769
564	0.1109338457
565	0.1108746494
566	0.1108339584
567	0.1107672626
568	0.1106678172
569	0.1105968631
570	0.1105256313
571	0.1104281733
572	0.1103422266
573	0.110257575
574	0.1101959777
575	0.1100756201
576	0.1100384171
577	0.1099328006
578	0.1098693647
579	0.1097873383
580	0.1096995413
581	0.1096578828
582	0.1095821716
583	0.1095381478
584	0.1095043383
585	0.1094982275
586	0.1094136046
587	0.10934814
588	0.1092909943
589	0.1091961346
590	0.1091448837
591	0.1090652835
592	0.1089817175
593	0.1089552487
594	0.1088117853
595	0.1088087098
596	0.1087241154
597	0.1086301393
598	0.1085604803
599	0.1085566475
600	0.1085000019
601	0.1084045365
602	0.1083468416
603	0.1082789536
604	0.1082249697
605	0.108199044
606	0.1081045906
607	0.1080500506
608	0.1079674152
609	0.1079016908
610	0.1078058148
611	0.1077828398
612	0.1077736345
613	0.1076833311
614	0.1076124543
615	0.1075685797
616	0.107464748
617	0.1074064106
618	0.107347777
619	0.1073385504
620	0.1072917806
621	0.1072364011
622	0.1071224185
623	0.1070377883
624	0.1070149757
625	0.1069942433
626	0.1069197139
627	0.1068308523
628	0.1067289902
629	0.1066785411
630	0.106630233
631	0.1065439125
632	0.1064751751
633	0.106413684
634	0.1063267602
635	0.1063234357
636	0.1062564559
637	0.1061923509
638	0.1060967705
639	0.1060336464
640	0.1059567858
641	0.1059044609
642	0.1058333154
643	0.1057277939
644	0.1057047967
645	0.1056279853
646	0.1055899168
647	0.1055209108
648	0.1054695333
649	0.1053932839
650	0.1052851652
651	0.1052021273
652	0.1051628396
653	0.1051240317
654	0.1050329383
655	0.1049568885
656	0.1048754506
657	0.1047697421
658	0.1047193604
659	0.1046670218
660	0.1046365255
661	0.1045981366
662	0.104527779
663	0.1045222468
664	0.1044900322
665	0.1044515016
666	0.104386788
667	0.104349146
668	0.1042905227
669	0.1042774752
670	0.1041949518
671	0.1041597879
672	0.1041288545
673	0.1040695422
674	0.1040433929
675	0.1040247533
676	0.1039376908
677	0.1038538441
678	0.1037988871
679	0.1037812118
680	0.1037095451
681	0.1036566246
682	0.1036082488
683	0.1035522771
684	0.1035206566
685	0.103482345
686	0.1034423024
687	0.1034167037
688	0.1033222093
689	0.1032895724
690	0.1032455498
691	0.1031904924
692	0.1031045035
693	0.1030581677
694	0.1030049815
695	0.1029439235
696	0.1028788459
697	0.1028137378
698	0.1027396316
699	0.1026875238
700	0.1026612829
701	0.1026507229
702	0.1025557686
703	0.1025045806
704	0.1024255509
705	0.1023752822
706	0.1023277483
707	0.1022926754
708	0.1022341955
709	0.1021629073
710	0.1021269522
711	0.1020883572
712	0.1020126544
713	0.1019470695
714	0.1018967142
715	0.10186086
716	0.1017787476
717	0.1017169895
718	0.101621993
719	0.1015626588
720	0.1015195601
721	0.1014643226
722	0.101396099
723	0.1013313263
724	0.1013046514
725	0.1012333354
726	0.1011538126
727	0.1010993964
728	0.1010784607
729	0.1009673746
730	0.1009305468
731	0.1008443709
732	0.1007875818
733	0.1007258266
734	0.1006522392
735	0.1005917099
736	0.1005400577
737	0.1004931786
738	0.1004344835
739	0.1003904912
740	0.1003406383
741	0.100287421
742	0.1002002719
743	0.1001483254
744	0.100049242
745	0.1000181263
746	0.0999802077
747	0.09993163926
748	0.0998935846
749	0.0998173405
750	0.09973063801
751	0.09966671537
752	0.09958681116
753	0.09952158905
754	0.09948725603
755	0.09944419917
756	0.09936956894
757	0.09928376859
758	0.09921035701
759	0.0991858909
760	0.09913802869
761	0.09904933476
762	0.09900191933
763	0.09888170586
764	0.09885351284
765	0.09879557452
766	0.09873834762
767	0.09873176392
768	0.09869382785
769	0.09861845294
770	0.09859017901
771	0.09854255358
772	0.09848482241
773	0.09843838867
774	0.09835771001
775	0.0982948013
776	0.09825704888
777	0.09825179447
778	0.09819936872
779	0.09816817014
780	0.09813519451
781	0.09809199923
782	0.09805588207
783	0.09801096741
784	0.09793726222
785	0.09786826656
786	0.09781683679
787	0.0977735808
788	0.09774306038
789	0.09769562777
790	0.09764615233
791	0.09756060445
792	0.09748435288
793	0.09741639549
794	0.09738143373
795	0.09733139079
796	0.09724424378
797	0.09717225387
798	0.09705895431
799	0.09703125749
800	0.09702244475
801	0.09691718704
802	0.09689912989
803	0.0968364872
804	0.09679325272
805	0.09673904174
806	0.09669741208
807	0.0966623282
808	0.09660905262
809	0.09657331661
810	0.09650260486
811	0.09644974573
812	0.09640635989
813	0.09637408938
814	0.09633882733
815	0.09630193041
816	0.09625501649
817	0.09619617374
818	0.09613422636
819	0.09608348061
820	0.09604089158
821	0.09597744811
822	0.09592426586
823	0.09589380166
824	0.09588885575
825	0.09578126817
826	0.09571760568
827	0.09562253061
828	0.09553718586
829	0.09546878099
830	0.09542674646
831	0.09537008461
832	0.09530586415
833	0.09524927876
834	0.0952451752
835	0.09520145553
836	0.09514464303
837	0.09510332835
838	0.09504081848
839	0.09500825214
840	0.09495312796
841	0.09488511496
842	0.09481467576
843	0.09474525295
844	0.09467117217
845	0.09457299833
846	0.0945255681
847	0.09448996617
848	0.09440616233
849	0.09437860842
850	0.09428897282
851	0.09422198659
852	0.09419925232
853	0.09414993958
854	0.09408053551
855	0.09401439961
856	0.0939461521
857	0.0938713525
858	0.09380904891
859	0.09375293164
860	0.09372225573
861	0.09365929566
862	0.09364572154
863	0.0935831825
864	0.09352483482
865	0.09345601485
866	0.09339884935
867	0.09333742642
868	0.09332716182
869	0.09327357807
870	0.09320132718
871	0.09312691861
872	0.09309469464
873	0.09307692826
874	0.0930388087
875	0.09300776828
876	0.09297280309
877	0.0929153598
878	0.09285777032
879	0.09279663609
880	0.09274524811
881	0.09267171368
882	0.0926249966
883	0.09258089681
884	0.09252463737
885	0.09248280517
886	0.09246199844
887	0.09240419582
888	0.09235731297
889	0.09226474088
890	0.09222501936
891	0.09218608283
892	0.09214382111
893	0.09210378668
894	0.09205913999
895	0.09200078013
896	0.09193591416
897	0.09185453562
898	0.09182007191
899	0.09177557075
900	0.09172238779
901	0.09166433227
902	0.09165172366
903	0.09161588232
904	0.09159326099
905	0.09150840111
906	0.09140087124
907	0.09138446123
908	0.09136027839
909	0.09128638073
910	0.09123629788
911	0.09119460437
912	0.09115324473
913	0.09107083991
914	0.09102061319
915	0.09098076384
916	0.09094213787
917	0.09090369422
918	0.09083189823
919	0.09071535577
920	0.09066973309
921	0.09059614452
922	0.09056125395
923	0.09051094213
924	0.09043523112
925	0.09035614519
926	0.09028797941
927	0.09022672014
928	0.09016115181
929	0.0900895907
930	0.09004629862
931	0.09000714365
932	0.08997732222
933	0.08995073229
934	0.08989660629
935	0.08985246738
936	0.08980782401
937	0.08975634634
938	0.08970546683
939	0.08967204038
940	0.08963005973
941	0.0895746042
942	0.08955781016
943	0.08950707982
944	0.08945799391
945	0.08944027169
946	0.08939724937
947	0.0893820328
948	0.089372988
949	0.08934884702
950	0.08930079162
951	0.08928224945
952	0.08927043649
953	0.08923393595
954	0.08919263508
955	0.08916415249
956	0.08910700891
957	0.08907500862
958	0.08903501415
959	0.08898915752
960	0.08895388843
961	0.08889052519
962	0.08887528615
963	0.08884196597
964	0.0888193018
965	0.08876373296
966	0.08875937851
967	0.088731217
968	0.08869103257
969	0.08867229999
970	0.08866840873
971	0.08863015608
972	0.0886178241
973	0.08856700401
974	0.08852426719
975	0.08847355481
976	0.08842015151
977	0.08838953468
978	0.08838498928
979	0.08836637013
980	0.08832233476
981	0.08825786842
982	0.08821507553
983	0.08816021051
984	0.08810869678
985	0.08807549702
986	0.08802990572
987	0.08797380438
988	0.08795301347
989	0.08789291003
990	0.08786125771
991	0.08781602861
992	0.08776004769
993	0.08770902623
994	0.08767022904
995	0.08763662299
996	0.08759001899
997	0.08754198335
998	0.08749579216
999	0.08744121607
